Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
93,Khem Birch\birchkh01,C,28,TOT,67,1529,15.1,.552,.137,.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,,2.3,1.4,3.8,.118,,-1.0,-0.3,-1.3,0.3
94,Daniel Theis\theisda01,C,28,TOT,65,1601,15.0,.609,.326,.236,6.5,18.3,12.4,9.5,1.2,3.3,11.4,15.6,,2.4,1.8,4.3,.128,,-0.6,0.5,-0.2,0.7
95,Andrew Wiggins\wiggian01,PF,25,GSW,71,2364,15.0,.568,.348,.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,,1.2,2.7,3.9,.080,,-0.1,-0.6,-0.7,0.8
96,Nerlens Noel\noelne01,C,26,NYK,64,1547,14.8,.638,.013,.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,,1.6,3.6,5.2,.162,,-2.5,3.5,1.0,1.2
97,Miles Bridges\bridgmi02,PF,22,CHO,66,1932,14.7,.625,.466,.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,,2.4,1.9,4.2,.105,,0.2,0.0,0.2,1.0
98,Rudy Gay\gayru01,PF,34,SAS,63,1358,14.7,.532,.443,.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,,0.0,1.7,1.7,.059,,-0.1,-0.2,-0.3,0.6
99,Carmelo Anthony\anthoca01,PF,36,POR,69,1690,14.6,.547,.418,.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,,1.7,0.8,2.6,.073,,0.1,-1.6,-1.5,0.2
100,Devonte' Graham\grahade01,PG,25,CHO,55,1659,14.6,.552,.713,.236,1.4,8.4,4.8,26.3,1.4,0.4,10.2,21.4,,2.5,0.9,3.4,.099,,1.6,-1.1,0.5,1.0
101,Shake Milton\miltosh01,SG,24,PHI,63,1461,14.6,.549,.304,.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,,1.1,1.6,2.8,.091,,-0.9,-1.2,-2.1,0.0
102,Aaron Gordon\gordoaa01,PF,25,TOT,50,1384,14.5,.547,.353,.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,,0.7,1.2,1.9,.066,,0.2,-0.2,0.0,0.7
103,Marcus Morris\morrima03,PF,31,LAC,57,1502,14.5,.614,.507,.152,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,,2.1,1.5,3.6,.115,,0.9,-1.0,-0.2,0.7
104,Darius Garland\garlada01,PG,21,CLE,54,1790,14.2,.547,.332,.165,1.4,6.8,4.0,30.9,1.8,0.3,16.0,24.9,,0.3,0.9,1.2,.033,,0.2,-1.8,-1.6,0.1
105,Reggie Jackson\jacksre01,SG,30,LAC,67,1544,14.2,.576,.482,.140,1.8,11.9,7.0,19.0,1.3,0.4,10.6,19.9,,2.3,1.4,3.7,.115,,0.5,-0.5,0.1,0.8
106,Kendrick Nunn\nunnke01,PG,25,MIA,56,1650,14.2,.596,.486,.091,1.5,10.8,6.2,14.5,1.6,0.9,10.5,20.9,,1.4,1.5,2.9,.084,,-0.4,-0.3,-0.6,0.6
107,Joe Harris\harrijo01,SF,29,BRK,69,2141,14.1,.663,.628,.089,2.3,10.1,6.4,8.4,1.0,0.6,7.8,16.2,,4.1,1.1,5.2,.117,,1.7,-1.5,0.2,1.2
108,Bojan Bogdanović\bogdabo02,SF,31,UTA,72,2216,14.0,.588,.498,.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,,2.7,2.5,5.2,.113,,0.1,-0.9,-0.8,0.7
109,Kenrich Williams\willike04,PF,26,OKC,66,1426,14.0,.599,.285,.153,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,,1.6,1.2,2.8,.096,,-1.1,0.7,-0.3,0.6
110,Lou Williams\willilo02,PG,34,TOT,66,1423,14.0,.519,.268,.268,1.7,8.9,5.4,23.4,1.6,0.4,13.0,25.7,,0.5,1.2,1.7,.056,,-1.1,-1.8,-2.9,-0.3
111,Anthony Edwards\edwaran01,SG,19,MIN,72,2314,13.9,.523,.429,.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,,-0.6,1.4,0.8,.017,,-0.9,-1.7,-2.6,-0.3
112,Keldon Johnson\johnske04,SF,21,SAS,69,1968,13.8,.557,.257,.278,4.9,17.6,11.1,8.9,1.0,1.0,9.0,19.2,,1.6,1.7,3.3,.079,,-0.8,-1.1,-1.9,0.0
113,Dennis Schröder\schrode01,SG,27,LAL,61,1956,13.8,.543,.279,.320,1.7,10.3,6.1,26.9,1.7,0.6,15.8,22.9,,1.0,2.7,3.8,.093,,-1.1,0.0,-1.1,0.4
114,Marcus Smart\smartma01,PG,26,BOS,48,1581,13.8,.539,.553,.318,2.5,9.3,5.9,23.6,2.2,1.4,14.2,18.4,,1.8,1.5,3.3,.100,,-0.4,-0.2,-0.6,0.6
115,Jae'Sean Tate\tateja01,SF,25,HOU,70,2043,13.8,.576,.312,.235,6.6,13.2,9.8,13.2,2.0,1.6,12.4,16.4,,2.2,1.6,3.8,.088,,-1.6,0.4,-1.2,0.4
116,Ricky Rubio\rubiori01,PG,30,MIN,68,1772,13.5,.516,.430,.301,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16.0,,1.9,1.3,3.1,.085,,-2.1,-0.1,-2.2,-0.1
117,RJ Barrett\barrerj01,SG,20,NYK,72,2511,13.4,.535,.292,.260,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,,0.9,3.1,4.1,.078,,-1.0,-0.5,-1.5,0.3
118,P.J. Washington\washipj01,PF,22,CHO,64,1954,13.4,.549,.423,.211,5.1,18.3,11.6,12.2,1.7,4.0,14.6,19.4,,0.3,2.4,2.7,.066,,-1.4,0.3,-1.1,0.5
119,Draymond Green\greendr01,PF,30,GSW,63,1982,13.3,.530,.332,.232,3.0,20.9,12.1,36.4,2.5,2.3,31.0,13.1,,1.2,3.4,4.6,.112,,-1.7,3.3,1.5,1.8
120,Tyler Herro\herroty01,SG,21,MIA,54,1635,13.3,.543,.425,.167,1.8,16.7,9.4,18.0,1.1,1.1,11.9,23.5,,0.1,1.6,1.7,.049,,-0.5,-1.1,-1.6,0.2
121,Kelly Oubre Jr.\oubreke01,SF,25,GSW,55,1687,13.3,.529,.394,.244,5.2,15.4,10.4,6.5,1.6,2.2,8.0,22.1,,0.0,2.2,2.2,.062,,-1.5,-0.6,-2.1,-0.1
122,Terrence Ross\rosste01,SG,29,ORL,46,1347,13.2,.530,.429,.224,1.1,11.4,6.1,13.2,1.7,1.4,9.9,24.1,,-0.1,1.0,0.9,.030,,-1.3,-1.1,-2.4,-0.1
